stock,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
000157.SZ,0,0,0,1,0,1,3,18,15,61,36,61,16,11,5,1,1,1,0,0,0
000158.SZ,2,0,0,0,3,5,11,13,29,55,28,40,24,13,9,3,1,1,0,0,6
000159.SZ,4,0,1,0,1,7,9,15,22,35,32,46,29,22,13,5,5,1,0,0,0
000166.SZ,0,0,0,0,0,0,4,6,16,58,43,48,21,3,0,2,0,0,0,0,0
000301.SZ,2,0,2,2,3,11,13,19,33,37,22,32,26,18,5,8,5,6,1,1,4
000333.SZ,0,0,0,0,1,4,8,20,29,56,37,26,29,11,10,5,2,1,0,0,0
000338.SZ,0,1,0,0,1,3,8,16,25,48,33,53,27,14,3,2,0,1,0,0,0
000400.SZ,1,3,0,3,5,4,19,11,34,42,20,33,28,13,12,8,5,2,5,1,3
000401.SZ,1,0,1,0,0,2,4,8,24,57,34,65,17,8,3,1,2,0,0,0,0
000402.SZ,0,0,2,0,3,1,6,11,32,54,46,55,24,7,6,3,1,0,1,1,2
000403.SZ,0,2,0,2,2,3,15,24,27,54,23,28,24,12,14,5,7,0,1,0,4
000404.SZ,3,1,1,1,5,5,5,18,29,43,27,37,25,16,9,9,3,1,0,0,9
000407.SZ,0,2,0,3,4,3,6,10,29,43,29,55,25,16,3,2,2,0,0,0,5
000408.SZ,1,0,1,2,6,9,6,14,35,42,30,39,27,10,10,2,4,4,1,1,2
000409.SZ,0,0,5,2,3,7,10,19,28,41,25,34,23,15,11,3,2,2,0,0,11
000410.SZ,0,0,0,0,0,7,4,7,31,50,26,42,28,9,2,14,0,0,0,0,0
000411.SZ,1,1,4,0,3,8,12,16,29,33,27,34,23,10,15,4,3,3,1,0,9
000413.SZ,0,0,0,0,3,2,8,8,31,62,41,67,27,8,2,3,0,0,1,0,2
000415.SZ,0,0,0,2,0,6,4,16,20,59,47,46,23,9,7,0,2,0,0,1,2
000416.SZ,5,0,1,3,4,7,6,15,33,43,8,48,34,10,8,3,2,2,0,0,12
000417.SZ,1,0,1,0,1,4,5,11,30,41,43,53,26,10,5,4,2,2,1,0,1
000419.SZ,5,0,2,0,6,8,7,13,21,37,32,52,31,11,4,4,2,0,2,1,12
000420.SZ,1,0,1,1,3,6,17,20,25,40,29,32,17,21,7,4,2,3,3,1,5
000421.SZ,3,1,2,3,4,6,6,7,31,33,24,45,41,8,5,2,1,1,0,0,9
000422.SZ,3,0,0,3,5,10,14,11,34,38,33,44,21,18,9,8,4,2,1,1,3
000423.SZ,0,3,1,0,1,3,5,16,27,51,27,41,34,9,11,4,1,2,0,0,1
000425.SZ,0,0,0,0,0,2,2,8,29,50,26,59,24,8,1,2,1,0,0,1,0
000426.SZ,0,0,2,1,3,6,6,16,25,45,32,51,26,20,6,3,1,2,0,0,2
000428.SZ,8,1,2,4,5,10,15,16,25,25,21,34,25,16,11,11,3,5,1,0,18
000429.SZ,0,0,0,0,0,2,1,5,16,56,52,52,15,9,1,5,0,0,0,0,0
000430.SZ,2,0,4,1,3,10,10,15,30,34,25,40,39,10,11,6,3,3,2,1,6
000488.SZ,0,0,0,1,1,1,6,8,15,74,25,65,19,6,1,1,0,0,0,0,1
000498.SZ,3,0,0,3,6,6,9,16,32,41,25,39,16,16,12,5,7,4,3,2,5
000501.SZ,0,1,0,2,1,2,1,10,21,55,30,51,28,8,4,2,3,0,0,0,0
000503.SZ,3,0,4,4,5,6,10,19,36,33,26,43,20,9,10,8,2,3,2,0,9
000504.SZ,2,0,2,1,4,2,13,16,32,58,26,35,21,13,7,4,1,4,1,2,4
000505.SZ,3,0,1,0,2,8,10,15,30,46,16,50,27,8,8,4,3,2,0,0,9
000506.SZ,0,2,0,2,3,7,17,24,29,41,20,36,25,20,15,2,1,4,1,0,8
000507.SZ,0,0,1,1,2,3,9,13,23,41,27,56,26,11,1,2,3,1,0,0,2
000509.SZ,3,0,0,1,2,17,6,10,25,40,30,29,28,16,9,21,1,0,0,0,5
000510.SZ,4,1,1,3,4,5,8,14,24,35,32,40,25,8,11,5,7,2,2,2,3
000513.SZ,0,0,0,1,1,5,9,14,35,44,29,35,23,14,6,7,3,3,0,0,1
000514.SZ,7,1,2,1,8,7,13,19,26,32,14,45,22,14,7,6,6,4,1,1,14
000516.SZ,1,0,0,0,1,18,16,17,26,41,21,29,28,20,13,11,5,4,1,0,3
000517.SZ,2,0,1,2,3,9,16,9,30,39,29,38,38,12,6,1,5,1,0,1,11
000518.SZ,1,0,2,0,2,6,8,13,28,51,11,57,22,9,8,5,0,1,0,0,5
000519.SZ,1,2,1,3,8,8,9,21,32,37,14,41,18,24,10,7,6,6,3,1,1
000520.SZ,1,0,2,0,5,4,10,11,29,40,19,58,22,10,7,4,0,1,1,0,7
000521.SZ,0,0,1,1,4,8,7,23,25,38,31,44,36,20,9,3,3,0,0,0,6
000523.SZ,0,1,0,1,1,6,13,15,34,40,35,48,24,15,4,5,3,1,0,0,7
000524.SZ,3,3,2,8,5,9,14,21,22,30,20,31,25,22,12,8,8,5,0,0,15
000525.SZ,0,0,0,0,0,34,16,13,29,24,18,28,22,17,15,43,0,0,0,0,0
000526.SZ,2,0,1,2,7,7,14,18,26,32,23,45,26,13,11,3,10,1,0,0,7
000528.SZ,0,1,1,0,1,0,4,9,16,49,44,58,19,4,0,1,2,0,1,0,0
